campaign_id,name,type,start_date,end_date,budget,created_at,updated_at
1,Spring Sale 2023,email,2023-03-01,2023-03-15,5000.00,2023-02-15T10:30:00,2023-02-15T10:30:00
2,New Customer Welcome,email,2023-01-01,2023-12-31,2500.00,2022-12-20T14:45:00,2023-01-05T09:15:00
3,Summer Collection Launch,social,2023-05-15,2023-06-15,7500.00,2023-04-20T11:20:00,2023-04-20T11:20:00
4,Back to School,display,2023-08-01,2023-08-31,6000.00,2023-07-10T15:35:00,2023-07-10T15:35:00
5,Holiday Season Promotion,email,2023-11-15,2023-12-31,10000.00,2023-10-25T09:50:00,2023-10-25T09:50:00
6,Tech Gadgets Showcase,social,2023-02-10,2023-02-28,4500.00,2023-01-20T13:15:00,2023-01-20T13:15:00
7,Fitness Equipment Sale,display,2023-04-01,2023-04-30,5500.00,2023-03-15T16:40:00,2023-03-15T16:40:00
8,Home Decor Inspiration,social,2023-06-01,2023-06-30,4000.00,2023-05-10T10:05:00,2023-05-10T10:05:00
9,Fashion Week Special,email,2023-09-15,2023-09-30,6500.00,2023-08-25T14:30:00,2023-08-25T14:30:00
10,Black Friday Preview,email,2023-11-01,2023-11-15,8000.00,2023-10-15T11:55:00,2023-10-15T11:55:00
11,Cyber Monday Deals,email,2023-11-25,2023-11-30,7000.00,2023-11-10T15:20:00,2023-11-10T15:20:00
12,Winter Essentials,display,2023-01-15,2023-02-15,5000.00,2023-01-05T09:45:00,2023-01-05T09:45:00
13,Valentine's Day Gifts,social,2023-02-01,2023-02-14,3500.00,2023-01-15T13:10:00,2023-01-15T13:10:00
14,Spring Cleaning Products,email,2023-03-15,2023-04-15,4000.00,2023-03-01T16:35:00,2023-03-01T16:35:00
15,Mother's Day Collection,social,2023-04-15,2023-05-14,5500.00,2023-04-01T10:00:00,2023-04-01T10:00:00
16,Father's Day Gifts,social,2023-05-15,2023-06-18,5500.00,2023-05-01T14:25:00,2023-05-01T14:25:00
17,Summer Travel Essentials,display,2023-06-15,2023-07-31,6500.00,2023-06-01T11:50:00,2023-06-01T11:50:00
18,Outdoor Living,email,2023-07-01,2023-07-31,4500.00,2023-06-15T15:15:00,2023-06-15T15:15:00
19,Fall Fashion Preview,social,2023-08-15,2023-09-15,7000.00,2023-08-01T09:40:00,2023-08-01T09:40:00
20,Halloween Special,email,2023-10-01,2023-10-31,4000.00,2023-09-15T13:05:00,2023-09-15T13:05:00
21,Product Launch: Smartphones,search,2023-02-20,2023-03-20,9000.00,2023-02-05T16:30:00,2023-02-05T16:30:00
22,Product Launch: Laptops,search,2023-05-01,2023-05-31,8500.00,2023-04-15T10:55:00,2023-04-15T10:55:00
23,Product Launch: Audio,search,2023-07-15,2023-08-15,7500.00,2023-07-01T14:20:00,2023-07-01T14:20:00
24,Product Launch: Wearables,search,2023-10-10,2023-11-10,8000.00,2023-09-25T11:45:00,2023-09-25T11:45:00
25,Loyalty Program Promotion,email,2023-01-01,2023-12-31,3000.00,2022-12-15T15:10:00,2023-01-10T09:35:00
26,Referral Program,email,2023-01-01,2023-12-31,2500.00,2022-12-15T15:10:00,2023-01-10T09:35:00
27,Flash Sale: Electronics,email,2023-03-10,2023-03-12,3000.00,2023-03-01T13:00:00,2023-03-01T13:00:00
28,Flash Sale: Fashion,email,2023-06-10,2023-06-12,3000.00,2023-06-01T16:25:00,2023-06-01T16:25:00
29,Flash Sale: Home Goods,email,2023-09-10,2023-09-12,3000.00,2023-09-01T10:50:00,2023-09-01T10:50:00
30,Flash Sale: Holiday Gifts,email,2023-12-10,2023-12-12,3000.00,2023-12-01T14:15:00,2023-12-01T14:15:00
31,Influencer Partnership: Tech,affiliate,2023-02-15,2023-04-15,12000.00,2023-02-01T11:40:00,2023-02-01T11:40:00
32,Influencer Partnership: Fashion,affiliate,2023-05-15,2023-07-15,12000.00,2023-05-01T15:05:00,2023-05-01T15:05:00
33,Influencer Partnership: Fitness,affiliate,2023-08-15,2023-10-15,12000.00,2023-08-01T09:30:00,2023-08-01T09:30:00
34,Influencer Partnership: Home,affiliate,2023-11-15,2024-01-15,12000.00,2023-11-01T13:55:00,2023-11-01T13:55:00
35,Student Discount Program,display,2023-08-15,2023-09-30,4500.00,2023-08-01T10:20:00,2023-08-01T10:20:00
