order_id,customer_id,order_date,status,total_amount,created_at,updated_at
1,15,2023-02-10,delivered,129.99,2023-02-10T14:30:00,2023-02-15T09:45:00
2,8,2023-02-12,delivered,249.98,2023-02-12T11:15:00,2023-02-18T10:30:00
3,22,2023-02-15,delivered,79.99,2023-02-15T16:45:00,2023-02-20T14:15:00
4,37,2023-02-18,delivered,399.99,2023-02-18T10:20:00,2023-02-23T11:50:00
5,3,2023-02-20,delivered,149.98,2023-02-20T15:35:00,2023-02-25T13:25:00
6,41,2023-02-22,delivered,1299.99,2023-02-22T09:10:00,2023-02-27T15:40:00
7,19,2023-02-25,delivered,89.98,2023-02-25T14:25:00,2023-03-02T10:15:00
8,29,2023-02-28,delivered,599.99,2023-02-28T16:50:00,2023-03-05T12:30:00
9,7,2023-03-02,delivered,74.98,2023-03-02T11:30:00,2023-03-07T14:45:00
10,33,2023-03-05,delivered,179.99,2023-03-05T15:45:00,2023-03-10T16:20:00
11,12,2023-03-08,delivered,229.98,2023-03-08T10:05:00,2023-03-13T11:35:00
12,26,2023-03-10,delivered,349.99,2023-03-10T13:20:00,2023-03-15T15:50:00
13,44,2023-03-12,delivered,119.98,2023-03-12T16:40:00,2023-03-17T09:25:00
14,5,2023-03-15,delivered,899.99,2023-03-15T11:15:00,2023-03-20T13:40:00
15,39,2023-03-18,delivered,64.98,2023-03-18T14:30:00,2023-03-23T15:05:00
16,17,2023-03-20,delivered,449.99,2023-03-20T09:55:00,2023-03-25T10:30:00
17,31,2023-03-22,delivered,109.98,2023-03-22T13:10:00,2023-03-27T12:45:00
18,10,2023-03-25,delivered,2399.99,2023-03-25T16:25:00,2023-03-30T14:10:00
19,24,2023-03-28,delivered,94.98,2023-03-28T11:50:00,2023-04-02T16:35:00
20,48,2023-03-30,delivered,329.99,2023-03-30T15:05:00,2023-04-04T11:20:00
21,2,2023-04-02,delivered,139.98,2023-04-02T10:30:00,2023-04-07T13:45:00
22,36,2023-04-05,delivered,799.99,2023-04-05T14:45:00,2023-04-10T15:30:00
23,14,2023-04-08,delivered,54.98,2023-04-08T09:20:00,2023-04-13T10:15:00
24,28,2023-04-10,delivered,199.99,2023-04-10T13:35:00,2023-04-15T12:40:00
25,42,2023-04-12,delivered,159.98,2023-04-12T16:50:00,2023-04-17T14:55:00
26,21,2023-04-15,delivered,3899.99,2023-04-15T11:25:00,2023-04-20T16:10:00
27,35,2023-04-18,delivered,69.98,2023-04-18T14:40:00,2023-04-23T11:35:00
28,49,2023-04-20,delivered,129.99,2023-04-20T09:15:00,2023-04-25T13:50:00
29,6,2023-04-22,delivered,99.98,2023-04-22T13:30:00,2023-04-27T15:25:00
30,40,2023-04-25,delivered,1799.99,2023-04-25T16:45:00,2023-04-30T10:40:00
31,18,2023-04-28,shipped,84.98,2023-04-28T11:20:00,2023-05-03T12:15:00
32,32,2023-04-30,shipped,249.99,2023-04-30T14:35:00,2023-05-05T14:30:00
33,46,2023-05-02,shipped,119.98,2023-05-02T09:50:00,2023-05-07T16:45:00
34,1,2023-05-05,shipped,2199.99,2023-05-05T13:05:00,2023-05-10T11:20:00
35,25,2023-05-08,shipped,59.98,2023-05-08T16:20:00,2023-05-13T13:35:00
36,9,2023-05-10,shipped,179.99,2023-05-10T11:45:00,2023-05-15T15:50:00
37,43,2023-05-12,shipped,149.98,2023-05-12T15:00:00,2023-05-17T10:05:00
38,27,2023-05-15,processing,1499.99,2023-05-15T10:25:00,2023-05-15T10:25:00
39,11,2023-05-18,processing,44.98,2023-05-18T14:40:00,2023-05-18T14:40:00
40,45,2023-05-20,processing,399.99,2023-05-20T09:15:00,2023-05-20T09:15:00
41,30,2023-05-22,processing,129.98,2023-05-22T13:30:00,2023-05-22T13:30:00
42,4,2023-05-25,processing,999.99,2023-05-25T16:45:00,2023-05-25T16:45:00
43,38,2023-05-28,pending,34.98,2023-05-28T11:20:00,2023-05-28T11:20:00
44,16,2023-05-30,pending,89.99,2023-05-30T14:35:00,2023-05-30T14:35:00
45,50,2023-06-01,pending,169.98,2023-06-01T09:50:00,2023-06-01T09:50:00
46,23,2023-06-03,pending,1299.99,2023-06-03T13:05:00,2023-06-03T13:05:00
47,47,2023-06-05,pending,49.98,2023-06-05T16:20:00,2023-06-05T16:20:00
48,13,2023-06-08,pending,119.99,2023-06-08T11:45:00,2023-06-08T11:45:00
49,34,2023-06-10,cancelled,0.00,2023-06-10T15:00:00,2023-06-11T10:25:00
50,20,2023-06-12,returned,349.99,2023-06-12T10:25:00,2023-06-18T14:40:00
